trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,16,-28.451013759787536,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.19895607185904,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.9280655302228,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.35774571494147,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.95479761275723,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.72243119596584,"{0: 13, 1: 4, 2: 10, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.4826996688143,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.85099892436075,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-206.83310510811603,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.45690884182832,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.23845816735576,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,13,-74.4892086461482,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,19,-17.54017117485472,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.75636826766068,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-70.56282112012696,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.4253364263544,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.74078288629659,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.99003171121095,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.98193009284233,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.52189340213633,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.30953755363154,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.9349811526635,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.17521006474058,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,8,-34.57751450598112,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.74357780534711,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.46919259556336,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-243.58188165616863,"{0: 9, 1: 1, 2: 3, 3: 3, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.26659827333748,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.43704512509296,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,8,-41.005205709174106,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
